ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,",Bogota , colombia",dir,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos,CausaConductorIDesc,CausaConductorIIDesc
Choque,Vehiculo, , , , ,0,0,KR 101-CL 83 02,",Bogota,Colombia","KR 101-CL 83 02,Bogota,Colombia",KR,101, , ,CL,83, , ,ENGATIVA,12/31/1899 10:30:00 PM,Interseccion,Normal,0,2,OTRA,DESOBEDECER SEÑALES
Atropello, , , , , ,0,0,CL 147-KR 7 02,",Bogota,Colombia","CL 147-KR 7 02,Bogota,Colombia",CL,147, , ,KR,7, , ,USAQUEN,12/31/1899 03:40:00 PM,Interseccion,Normal,0,1,DESOBEDECER SEÑALES, 
Choque,Vehiculo, , , , ,0,0,CL 19-KR 5 SE 02,",Bogota,Colombia","CL 19-KR 5 SE 02,Bogota,Colombia",CL,19, ,S,KR,5, ,E,SAN CRISTOBAL,12/31/1899 07:20:00 AM,Tramo de Via,Normal,0,0,OTRA, 
Choque,Vehiculo, , , , ,0,0,AC 80-KR 107 02,",Bogota,Colombia","AC 80-KR 107 02,Bogota,Colombia",AC,80, , ,KR,107, , ,ENGATIVA,12/31/1899 06:10:00 AM,Tramo de Via,Normal,0,0, ,TRANSITAR ENTRE VEHICULOS
Choque,Vehiculo, , , , ,0,0,TR 14-CL 48 S 05,",Bogota,Colombia","TR 14-CL 48 S 05,Bogota,Colombia",TR,14, , ,CL,48, ,S,RAFAEL URIBE URIBE,12/31/1899 05:00:00 PM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,TR 77-CL 84A 02,",Bogota,Colombia","TR 77-CL 84A 02,Bogota,Colombia",TR,77, , ,CL,84,A, ,ENGATIVA,12/31/1899 02:35:00 PM,Tramo de Via,Normal,0,0, ,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,KR 78B-CL 72 02,",Bogota,Colombia","KR 78B-CL 72 02,Bogota,Colombia",KR,78,B, ,CL,72, , ,ENGATIVA,12/31/1899 07:00:00 PM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-KR 8 32,",Bogota,Colombia","AV AVENIDA CIUDAD DE CALI-KR 8 32,Bogota,Colombia",AV,AVENIDA CIUDAD DE CALI, , ,KR,8, , ,KENNEDY,12/31/1899 10:40:00 AM,Tramo de Via,Normal,0,1, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,CL 13-KR 68D 76,",Bogota,Colombia","CL 13-KR 68D 76,Bogota,Colombia",CL,13, , ,KR,68,D, ,FONTIBON,12/31/1899 08:45:00 PM,Tramo de Via,Normal,0,0,ADELANTAR INVADIENDO CARRIL DEL MISMO SENTIDO EN ZIG-ZAG, 
Otro, , , ,2,Caida dentro del vehiculo,0,0,KR 24A-CL 22 S 02,",Bogota,Colombia","KR 24A-CL 22 S 02,Bogota,Colombia",KR,24,A, ,CL,22, ,S,ANTONIO NARIÑO,12/31/1899 08:30:00 PM,Interseccion,Normal,0,2,FRENAR BRUSCAMENTE, 
Choque,Vehiculo, , , , ,0,0,CL 68-KR 28B 02,",Bogota,Colombia","CL 68-KR 28B 02,Bogota,Colombia",CL,68, , ,KR,28,B, ,BARRIOS UNIDOS,12/31/1899 03:00:00 PM,Tramo de Via,Normal,0,0, ,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,CL 48C-KR 21 S 13,",Bogota,Colombia","CL 48C-KR 21 S 13,Bogota,Colombia",CL,48,C,S,KR,21, , ,TUNJUELITO,12/31/1899 08:50:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,KR 89-CL 66A 02,",Bogota,Colombia","KR 89-CL 66A 02,Bogota,Colombia",KR,89, , ,CL,66,A, ,ENGATIVA,12/31/1899 06:30:00 AM,Tramo de Via,Normal,0,1,NO UTILIZAR - GIRAR BRUSCAMENTE,ADELANTAR INVADIENDO VIA
Atropello, , , , , ,0,0,CL 22-KR 16 16,",Bogota,Colombia","CL 22-KR 16 16,Bogota,Colombia",CL,22, , ,KR,16, , ,LOS MARTIRES,12/31/1899 09:10:00 AM,Tramo de Via,Normal,0,1, , 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA LUIS CARLOS GALAN-KR 60 02,",Bogota,Colombia","AV AVENIDA LUIS CARLOS GALAN-KR 60 02,Bogota,Colombia",AV,AVENIDA LUIS CARLOS GALAN, , ,KR,60, , ,TEUSAQUILLO,12/31/1899 02:05:00 PM,Tramo de Via,Normal,0,0,OTRA, 
